Inject_Delay,Latency(ns),Bandwidth(MiB/s),
00000,513.84,6295.2,
00002,520.58,6111.1,
00008,514.78,6229.9,
00015,444.09,6866.9,
00050,266.05,10415.6,
00100,219.16,10815.9,
00200,183.59,9697.3,
00300,146.27,8116.6,
00400,120.77,7183.1,
00500,104.93,6331.1,
00700,89.96,4937.8,
01000,77.72,3943.2,
01300,69.95,3329.0,
01700,65.09,2847.0,
02500,66.55,2218.6,
03500,76.26,1746.6,
05000,72.98,1511.4,
09000,79.43,1107.2,
20000,85.35,880.7,
